id,name,followers,popularity,url,image
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,4832823,80,https://open.spotify.com/artist/2iojnBLj0qIMiKPvVhLnsH,https://i.scdn.co/image/364d6dfc4b762b452702539e28e0021558c7a7b6
3kortApcf0ntRWexUkJE4H,Uncle Murda,153944,56,https://open.spotify.com/artist/3kortApcf0ntRWexUkJE4H,https://i.scdn.co/image/8a5dff7d0184c3cbb8ee30241d6e0192a999d671
7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,978395,66,https://open.spotify.com/artist/7gSjFKpVmDgC2MMsnN8CYq,https://i.scdn.co/image/c44cb365c0c87157cb1842615aa6ad7bd8a1245f
6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,1808529,71,https://open.spotify.com/artist/6f4XkbvYlXMH0QgVRzW0sM,https://i.scdn.co/image/41801ac40576d7c377c90c9fd5d20f548d7ecd1a
3TVXtAsR1Inumwj472S9r4,Drake,44802551,100,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
0st5vgzw9XkH5ALJiUM1lE,Slim Thug,491989,64,https://open.spotify.com/artist/0st5vgzw9XkH5ALJiUM1lE,https://i.scdn.co/image/c5a7b744cc9c97d29d53f99fe06dfc6dbd1b0635
28ExwzUQsvgJooOI0X1mr3,Jay Rock,771308,76,https://open.spotify.com/artist/28ExwzUQsvgJooOI0X1mr3,https://i.scdn.co/image/774454e054a4f45cfa4f74907caa45649c5d521d
6XwcepfAsPhrvwziGxhwju,Pretty Ricky,901605,63,https://open.spotify.com/artist/6XwcepfAsPhrvwziGxhwju,https://i.scdn.co/image/2ee69e86ee3a92f6c9781b1af4edba934498c219
1mceaxtjWdEmwoDVAlkC41,Zaytoven,237979,65,https://open.spotify.com/artist/1mceaxtjWdEmwoDVAlkC41,https://i.scdn.co/image/c20e6a3e6b34647f409c92f327b60c4d52a76bed
7f35VZGDpomj11PXdNn5D9,Max B,116820,54,https://open.spotify.com/artist/7f35VZGDpomj11PXdNn5D9,https://i.scdn.co/image/fc9e3f5acf8255daa7b368d68a825ceb0325c967
4pr7J7wzgObkE3DD3Izi7q,Young Buck,560752,65,https://open.spotify.com/artist/4pr7J7wzgObkE3DD3Izi7q,https://i.scdn.co/image/897e8215aabe5527e4a3cddc3738a9ab55e5dc5c
3jk39CGeaaSO3FPKNx1RUx,Syd,288410,68,https://open.spotify.com/artist/3jk39CGeaaSO3FPKNx1RUx,https://i.scdn.co/image/043e7be1140838b9903a60b6400e9ae775e122ee
0tPjSrb43a58uznKru1k2P,A$AP Twelvyy,179077,63,https://open.spotify.com/artist/0tPjSrb43a58uznKru1k2P,https://i.scdn.co/image/982e09474fd8d809201061b9ec9fa59cbd7a14a7
7e1ICztHM2Sc4JNLxeMXYl,dvsn,691237,71,https://open.spotify.com/artist/7e1ICztHM2Sc4JNLxeMXYl,https://i.scdn.co/image/9d32e06225a48304366ab0c8521389155958c56b
5J7URjIP8aFmeSn2QwF9Au,TYuS,92184,49,https://open.spotify.com/artist/5J7URjIP8aFmeSn2QwF9Au,https://i.scdn.co/image/84eaf8df3a4998bab94b0b7fe60d8d6504333787
4Gso3d4CscCijv0lmajZWs,Don Toliver,264424,85,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs,https://i.scdn.co/image/703b452ee316bbc4a8a0c8c49ba518a0d8edeef0
